"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","encounter_year","e_present_condition_code","l_d","encounter_month"
102875634,4,4,26,6,2006,2009,5,"dead",9
102875640,1,4,26,6,2006,2006,5,"dead",9
102875642,1,5,26,6,2006,2007,3,"unknown",1
102875644,1,4,26,6,2006,2008,5,"dead",1
102875645,1,4,26,6,2006,2013,5,"dead",1
102875647,1,4,26,6,2006,2007,5,"dead",1
102875650,1,4,26,6,2006,2009,5,"dead",1
102875669,1,4,26,6,2006,2007,5,"dead",12
102875672,1,4,26,6,2006,2011,5,"dead",9
102875676,1,4,26,6,2006,2007,3,"unknown",1
102875678,1,5,26,6,2006,2010,5,"dead",1
102875682,1,5,26,6,2006,2007,3,"unknown",12
98848804,1,5,23,6,2009,2010,5,"dead",1
98848807,1,5,23,6,2009,2011,5,"dead",9
98848809,4,4,23,6,2009,2011,5,"dead",11
98848811,4,5,23,6,2009,2010,5,"dead",9
98848822,4,4,23,6,2009,2014,5,"dead",9
98848831,4,5,23,6,2009,2011,4,"dead",5
100889107,1,5,25,6,2009,2013,5,"dead",12
100889121,1,5,25,6,2009,2014,5,"dead",11
100889124,1,5,25,6,2009,2011,5,"dead",1
100889183,1,5,25,6,2009,2011,5,"dead",9
100889185,1,5,25,6,2009,2014,5,"dead",11
100889191,1,4,25,6,2009,2011,5,"dead",1
100889402,1,5,30,6,2009,2011,4,"dead",1
100889408,1,4,30,6,2009,2009,5,"dead",9
100889211,1,4,25,6,2009,2010,5,"dead",12
100889212,1,5,25,6,2009,2013,5,"dead",11
100889412,1,5,30,6,2009,2010,5,"dead",12
100889413,1,4,30,6,2009,2010,5,"dead",1
100889421,1,4,30,6,2009,2011,5,"dead",1
100889428,1,5,30,6,2009,2012,5,"dead",9
100889435,1,4,30,6,2009,2011,5,"dead",9
100889438,1,4,30,6,2009,2010,5,"dead",1
100889442,1,4,30,6,2009,2012,5,"dead",11
100889446,1,4,30,6,2009,2014,5,"dead",1
100889450,1,5,30,6,2009,2010,5,"dead",9
100889452,1,4,30,6,2009,2012,5,"dead",4
100889453,1,4,30,6,2009,2011,5,"dead",1
100889454,1,4,30,6,2009,2010,5,"dead",9
100889461,1,4,30,6,2009,2011,5,"dead",1
100889465,1,5,30,6,2009,2010,5,"dead",1
100889223,1,4,25,6,2009,2012,4,"dead",12
100889229,1,4,25,6,2009,2013,5,"dead",7
100889482,1,5,30,6,2009,2010,5,"dead",12
100889483,1,4,30,6,2009,2011,5,"dead",1
100889489,1,5,30,6,2009,2011,5,"dead",1
100889030,1,4,25,6,2009,2010,5,"dead",1
100889041,0,0,25,6,2009,2013,5,"dead",2
100889042,1,5,25,6,2009,2009,5,"dead",9
100889050,1,4,25,6,2009,2010,5,"dead",1
100889054,1,4,25,6,2009,2012,5,"dead",1
100889066,1,4,25,6,2009,2010,5,"dead",1
100889067,1,4,25,6,2009,2013,5,"dead",12
100889078,1,4,25,6,2009,2013,5,"dead",1
100889080,1,4,25,6,2009,2010,5,"dead",1
100889082,1,5,25,6,2009,2013,5,"dead",1
100889085,1,4,25,6,2009,2011,5,"dead",1
100889090,0,0,25,6,2009,2010,5,"dead",11
100889093,1,4,25,6,2009,2009,5,"dead",9
100889095,1,4,25,6,2009,2011,5,"dead",11
100889238,1,4,25,6,2009,2013,5,"dead",1
100889239,1,4,25,6,2009,2010,5,"dead",1
100889248,1,5,30,6,2009,2010,4,"dead",1
100889250,1,5,30,6,2009,2011,5,"dead",11
100889256,1,5,30,6,2009,2011,4,"dead",1
100889258,1,5,30,6,2009,2012,4,"dead",2
100889264,1,5,30,6,2009,2010,5,"dead",9
100889275,1,5,30,6,2009,2010,4,"dead",1
100889284,1,4,30,6,2009,2011,5,"dead",9
100889285,1,5,30,6,2009,2011,5,"dead",12
100889290,1,5,30,6,2009,2011,5,"dead",2
100889291,1,5,30,6,2009,2012,5,"dead",1
100889296,1,5,30,6,2009,2013,5,"dead",1
100889298,1,5,30,6,2009,2011,5,"dead",1
100889299,1,4,30,6,2009,2010,5,"dead",9
98849449,1,5,23,6,2009,2009,5,"dead",9
98849451,1,4,23,6,2009,2009,5,"dead",12
98849459,1,4,23,6,2009,2011,8,"alive",4
98849465,1,5,23,6,2009,2011,5,"dead",1
98849500,1,5,23,6,2009,2011,5,"dead",1
100888194,1,4,23,6,2009,2011,5,"dead",11
100888195,1,5,23,6,2009,2014,5,"dead",9
100888196,4,5,23,6,2009,2011,5,"dead",1
100888199,4,5,23,6,2009,2011,5,"dead",9
104898665,4,4,30,6,2009,2014,5,"dead",2
104898667,2,4,30,6,2009,2013,5,"dead",11
104898668,4,5,30,6,2009,2010,5,"dead",9
104898676,2,4,30,6,2009,2014,4,"dead",4
104898677,1,4,30,6,2009,2010,4,"dead",3
104898679,1,4,30,6,2009,2012,5,"dead",2
104898680,1,4,30,6,2009,2014,5,"dead",11
104898692,1,4,30,6,2009,2010,5,"dead",1
104898695,1,5,30,6,2009,2010,5,"dead",1
104898697,1,4,30,6,2009,2012,8,"alive",9
104898701,1,5,1,7,2009,2012,5,"dead",9
104898717,1,5,1,7,2009,2010,5,"dead",1
104898729,1,4,1,7,2009,2012,5,"dead",3
104898732,1,4,1,7,2009,2010,5,"dead",12
104898744,1,4,1,7,2009,2012,5,"dead",9
104898748,1,4,1,7,2009,2010,5,"dead",12
104898755,1,5,1,7,2009,2011,5,"dead",9
104898786,1,5,1,7,2009,2013,5,"dead",1
104898812,1,4,1,7,2009,2009,5,"dead",9
104898825,1,4,1,7,2009,2012,5,"dead",1
104898834,1,4,1,7,2009,2013,5,"dead",9
104898837,1,4,1,7,2009,2012,5,"dead",5
104898838,1,5,1,7,2009,2009,4,"dead",12
104898845,1,5,1,7,2009,2012,5,"dead",9
104898848,1,5,1,7,2009,2009,4,"dead",9
104898857,1,5,1,7,2009,2010,5,"dead",1
104898859,1,4,1,7,2009,2010,13,"alive",9
104898863,1,5,1,7,2009,2012,5,"dead",1
104898864,1,5,1,7,2009,2013,5,"dead",11
104898866,1,5,1,7,2009,2010,5,"dead",4
104898870,1,4,1,7,2009,2009,4,"dead",12
104898876,1,5,1,7,2009,2009,4,"dead",12
104898880,1,4,1,7,2009,2013,5,"dead",1
104898881,1,4,1,7,2009,2012,4,"dead",1
100889132,1,4,25,6,2009,2009,5,"dead",9
100889136,1,4,25,6,2009,2011,5,"dead",12
100889143,1,4,25,6,2009,2010,5,"dead",9
100889152,1,5,25,6,2009,2013,5,"dead",1
100889154,1,4,25,6,2009,2013,5,"dead",1
100889155,1,5,25,6,2009,2011,4,"dead",9
100889168,1,4,25,6,2009,2010,5,"dead",1
100889176,1,5,25,6,2009,2011,5,"dead",1
97890404,1,4,23,6,2009,2011,5,"dead",8
97890411,1,5,24,6,2009,2012,5,"dead",12
97890435,1,5,24,6,2009,2012,5,"dead",9
97890437,1,4,24,6,2009,2010,5,"dead",1
97890446,1,4,24,6,2009,2010,5,"dead",1
97890455,1,0,24,6,2009,2011,5,"dead",1
97890476,1,4,24,6,2009,2012,5,"dead",1
97890498,1,0,24,6,2009,2011,5,"dead",1
98848839,1,4,23,6,2009,2011,5,"dead",1
98848841,1,4,23,6,2009,2009,5,"dead",12
98848855,1,4,23,6,2009,2013,5,"dead",9
98848856,1,5,23,6,2009,2011,5,"dead",1
98848858,1,4,23,6,2009,2013,5,"dead",12
98848858,1,4,23,6,2009,2012,7,"alive",5
98848861,1,5,23,6,2009,2011,5,"dead",1
98848864,1,5,23,6,2009,2011,5,"dead",11
98848870,1,5,23,6,2009,2013,5,"dead",9
98848873,1,4,23,6,2009,2013,5,"dead",12
98848881,1,4,23,6,2009,2013,5,"dead",9
98848884,1,5,23,6,2009,2011,4,"dead",1
98848893,1,4,23,6,2009,2014,5,"dead",1
98848899,1,4,23,6,2009,2010,5,"dead",9
100888703,1,0,24,6,2009,2012,5,"dead",1
100888710,1,0,24,6,2009,2010,5,"dead",1
100888727,1,4,24,6,2009,2012,14,"alive",9
100888740,1,4,24,6,2009,2010,5,"dead",1
100888747,1,5,24,6,2009,2010,5,"dead",1
104898906,1,5,7,7,2009,2012,6,"dead",4
104898924,1,5,7,7,2009,2011,4,"dead",11
104898954,2,5,7,7,2009,2010,8,"alive",7
104898963,1,4,7,7,2009,2011,7,"alive",4
104898974,4,5,7,7,2009,2012,6,"dead",2
104898990,1,5,7,7,2009,2012,5,"dead",11
104898995,1,5,7,7,2009,2013,5,"dead",11
107821007,1,4,23,6,2010,2012,5,"dead",1
107821009,1,4,23,6,2010,2014,5,"dead",11
107821025,1,5,23,6,2010,2013,5,"dead",1
107821030,4,5,24,6,2010,2010,5,"dead",9
107821035,1,4,24,6,2010,2014,5,"dead",1
107821042,1,4,24,6,2010,2010,5,"dead",9
107821044,1,4,24,6,2010,2012,5,"dead",9
107821052,1,4,24,6,2010,2014,5,"dead",9
107821065,1,4,24,6,2010,2010,5,"dead",9
107821066,1,4,24,6,2010,2010,5,"dead",9
107821067,1,4,24,6,2010,2011,5,"dead",9
107821070,1,5,24,6,2010,2010,5,"dead",9
103887497,0,0,25,6,2008,2014,5,"dead",11
96897956,1,5,13,10,2000,2006,3,"unknown",10
96897966,1,5,13,10,2000,2006,3,"unknown",1
96897967,1,4,13,10,2000,2002,5,"dead",1
96897969,2,5,13,10,2000,2001,3,"unknown",1
96897970,1,5,13,10,2000,2002,5,"dead",1
96897971,2,4,13,10,2000,2003,3,"unknown",10
96897972,1,4,13,10,2000,2001,3,"unknown",1
96897975,2,5,13,10,2000,2001,3,"unknown",1
96897981,1,4,20,6,2001,2010,5,"dead",9
96897987,1,4,20,6,2001,2002,3,"unknown",1
96897988,1,4,20,6,2001,2007,3,"unknown",2
96897989,1,4,20,6,2001,2005,3,"unknown",4
96897991,1,4,20,6,2001,2008,5,"dead",2
96897993,1,5,20,6,2001,2009,4,"dead",1
96897996,1,5,20,6,2001,2003,3,"unknown",1
96897999,1,5,20,6,2001,2002,3,"unknown",10
96897902,2,4,22,9,2000,2002,4,"dead",1
96897904,1,4,22,9,2000,2002,3,"unknown",10
96897908,1,4,22,9,2000,2001,3,"unknown",1
96897909,1,5,22,9,2000,2002,5,"dead",1
96897914,1,4,22,9,2000,2001,3,"unknown",1
96897915,1,5,22,9,2000,2001,3,"unknown",1
96897917,1,4,22,9,2000,2004,3,"unknown",1
96897919,1,4,22,9,2000,2003,3,"unknown",12
96897921,2,5,22,9,2000,2005,5,"dead",1
96897923,1,4,22,9,2000,2003,3,"unknown",1
96897926,1,4,22,9,2000,2001,3,"unknown",1
96897931,1,5,22,9,2000,2003,3,"unknown",10
96897932,2,4,22,9,2000,2003,3,"unknown",2
96897933,1,5,22,9,2000,2002,3,"unknown",1
96897934,2,5,22,9,2000,2001,4,"dead",1
96897937,1,5,22,9,2000,2002,5,"dead",1
96897939,1,5,22,9,2000,2001,3,"unknown",1
