"band_id","age","sex","2005","2006","2007","2008","2009","2010","2011","NA","cap"
97888511,1,4,0,1,0,0,0,0,0,0,"0100000"
97888516,1,4,1,0,0,0,0,0,0,0,"1000000"
97888547,1,5,0,0,1,0,0,0,0,0,"0010000"
97888562,1,5,0,1,0,0,0,0,0,0,"0100000"
97888570,4,4,0,1,0,0,0,0,0,0,"0100000"
97888592,1,4,0,0,0,0,0,1,0,0,"0000010"
97888600,1,5,0,0,0,0,0,0,1,0,"0000001"
97888609,4,4,0,1,0,0,0,0,0,0,"0100000"
97888610,4,4,1,0,0,0,0,0,0,0,"1000000"
97888624,4,4,0,0,0,0,0,1,0,0,"0000010"
97888632,4,5,0,0,1,0,0,0,0,0,"0010000"
97888642,1,4,0,0,0,0,1,0,0,0,"0000100"
97888658,1,4,0,0,0,0,0,1,0,0,"0000010"
97888671,1,4,0,0,1,0,0,0,0,0,"0010000"
97888679,1,4,1,0,0,0,0,0,0,0,"1000000"
97888699,4,5,1,0,0,0,0,0,0,0,"1000000"
97888705,1,5,1,0,0,0,0,0,0,0,"1000000"
97888706,1,4,0,0,0,1,0,0,0,0,"0001000"
97888733,1,4,0,0,0,0,1,0,0,0,"0000100"
97888737,1,4,1,0,0,0,0,0,0,0,"1000000"
97888741,1,5,0,0,1,0,0,0,0,0,"0010000"
97888748,1,5,0,0,0,1,0,0,0,0,"0001000"
97888762,1,5,1,0,0,0,0,0,0,0,"1000000"
97888763,1,4,0,1,0,0,0,0,0,0,"0100000"
97888769,1,5,0,0,1,0,0,0,0,0,"0010000"
97888771,1,5,0,1,0,0,0,0,0,0,"0100000"
97888773,1,5,1,0,0,0,0,0,0,0,"1000000"
97888783,1,5,1,0,0,0,0,0,0,0,"1000000"
97888791,1,4,0,0,1,0,0,0,0,0,"0010000"
97888795,1,5,1,0,0,0,0,0,0,0,"1000000"
97888796,1,5,0,0,0,0,0,0,1,0,"0000001"
97888798,1,4,1,0,0,0,0,0,0,0,"1000000"
97888824,1,5,0,0,1,0,0,0,0,0,"0010000"
97888837,1,4,0,0,0,1,0,0,0,0,"0001000"
97888848,1,5,0,1,0,0,0,0,0,0,"0100000"
97888849,1,5,1,0,0,0,0,0,0,0,"1000000"
97888861,1,4,1,0,0,0,0,0,0,0,"1000000"
97888875,1,5,0,0,0,1,0,0,0,0,"0001000"
97888907,1,5,0,1,0,0,0,0,0,0,"0100000"
97888912,1,4,1,0,0,0,0,0,0,0,"1000000"
97888914,1,4,1,0,0,0,0,0,0,0,"1000000"
97888919,1,4,0,1,0,0,0,0,0,0,"0100000"
97888939,1,5,0,0,1,0,0,0,0,0,"0010000"
97888948,1,4,0,0,0,0,1,0,0,0,"0000100"
97888970,1,4,1,0,0,0,0,0,0,0,"1000000"
97888980,1,5,1,0,0,0,0,0,0,0,"1000000"
97888982,1,5,0,1,0,0,0,0,0,0,"0100000"
97888990,1,4,0,1,0,0,0,0,0,0,"0100000"
97888991,1,5,1,0,0,0,0,0,0,0,"1000000"
97889018,1,5,0,1,0,0,0,0,0,0,"0100000"
97889019,1,4,1,0,0,0,0,0,0,0,"1000000"
97889034,1,4,0,1,0,0,0,0,0,0,"0100000"
97889062,1,5,1,0,0,0,0,0,0,0,"1000000"
97889064,1,4,0,0,1,0,0,0,0,0,"0010000"
97889066,1,5,0,1,0,0,0,0,0,0,"0100000"
97889072,1,5,0,1,0,0,0,0,0,0,"0100000"
97889080,1,4,0,0,0,1,0,0,0,0,"0001000"
97889103,4,4,1,0,0,0,0,0,0,0,"1000000"
97889124,4,5,0,0,0,0,0,0,1,0,"0000001"
97889134,4,5,0,1,0,0,0,0,0,0,"0100000"
97889135,4,5,0,0,0,0,1,0,0,0,"0000100"
97889139,4,4,1,0,0,0,0,0,0,0,"1000000"
97889150,4,4,1,0,0,0,0,0,0,0,"1000000"
97889157,4,5,0,0,0,1,0,0,0,0,"0001000"
97889191,1,5,0,0,0,0,1,0,0,0,"0000100"
97889193,1,4,1,0,0,0,0,0,0,0,"1000000"
97889204,4,4,1,0,0,0,0,0,0,0,"1000000"
97889205,1,5,1,0,0,0,0,0,0,0,"1000000"
97889206,4,5,0,0,0,0,0,0,1,0,"0000001"
97889207,1,4,1,0,0,0,0,0,0,0,"1000000"
97889226,1,4,0,1,0,0,0,0,0,0,"0100000"
97889230,4,5,0,1,0,0,0,0,0,0,"0100000"
97889239,1,5,1,0,0,0,0,0,0,0,"1000000"
97889246,1,5,0,1,0,0,0,0,0,0,"0100000"
97889257,1,4,1,0,0,0,0,0,0,0,"1000000"
97889262,1,5,1,0,0,0,0,0,0,0,"1000000"
97889306,1,5,0,0,0,0,0,0,1,0,"0000001"
97889316,1,5,1,0,0,0,0,0,0,0,"1000000"
97889325,1,4,0,0,1,0,0,0,0,0,"0010000"
97889332,1,5,0,1,0,0,0,0,0,0,"0100000"
97889333,1,4,0,1,0,0,0,0,0,0,"0100000"
97889335,1,4,0,0,0,0,0,0,1,0,"0000001"
97889340,1,5,1,0,0,0,0,0,0,0,"1000000"
97889347,1,4,1,0,0,0,0,0,0,0,"1000000"
97889359,1,5,0,0,0,0,0,0,1,0,"0000001"
97889393,1,4,1,0,0,0,0,0,0,0,"1000000"
97889398,1,5,1,0,0,0,0,0,0,0,"1000000"
97889403,1,5,0,1,0,0,0,0,0,0,"0100000"
97889409,1,5,0,1,0,0,0,0,0,0,"0100000"
97889415,1,5,0,0,0,0,0,1,0,0,"0000010"
97889422,1,5,0,1,0,0,0,0,0,0,"0100000"
97889433,1,5,0,0,0,1,0,0,0,0,"0001000"
97889437,1,5,1,0,0,0,0,0,0,0,"1000000"
97889448,1,4,1,0,0,0,0,0,0,0,"1000000"
