"","band","sex","age","ch"
"337",97888991,5,1,"1000000"
"338",97889018,5,1,"0100000"
"339",97889019,4,1,"1000000"
"340",97889034,4,1,"0100000"
"341",97889062,5,1,"1000000"
"342",97889064,4,1,"0010000"
"343",97889066,5,1,"0100000"
"344",97889072,5,1,"0100000"
"345",97889080,4,1,"0001000"
"346",97889103,4,4,"1000000"
"347",97889124,5,4,"0000001"
"348",97889134,5,4,"0100000"
"349",97889135,5,4,"0000100"
"350",97889139,4,4,"1000000"
"351",97889150,4,4,"1000000"
"352",97889157,5,4,"0001000"
"353",97889191,5,1,"0000100"
"354",97889193,4,1,"1000000"
"355",97889204,4,4,"1000000"
"356",97889205,5,1,"1000000"
"357",97889206,5,4,"0000001"
"358",97889207,4,1,"1000000"
"359",97889226,4,1,"0100000"
"360",97889230,5,4,"0100000"
"361",97889239,5,1,"1000000"
"362",97889246,5,1,"0100000"
"363",97889257,4,1,"1000000"
"364",97889262,5,1,"1000000"
"365",97889306,5,1,"0000001"
"366",97889316,5,1,"1000000"
"367",97889325,4,1,"0010000"
"368",97889332,5,1,"0100000"
"369",97889333,4,1,"0100000"
"370",97889335,4,1,"0000001"
"371",97889340,5,1,"1000000"
"372",97889347,4,1,"1000000"
"373",97889359,5,1,"0000001"
"374",97889393,4,1,"1000000"
"375",97889398,5,1,"1000000"
"376",97889403,5,1,"0100000"
"377",97889409,5,1,"0100000"
"378",97889415,5,1,"0000010"
"379",97889422,5,1,"0100000"
"380",97889433,5,1,"0001000"
"381",97889437,5,1,"1000000"
"382",97889448,4,1,"1000000"
"383",97889458,4,1,"0001000"
"384",97889462,5,1,"0000100"
"385",97889464,5,1,"0000100"
"386",97889467,5,1,"1010000"
"387",97889479,5,1,"0100000"
"388",97889489,5,1,"0100000"
"389",97889492,5,1,"0000100"
"390",97889513,4,1,"0100000"
"391",97889520,5,4,"0100000"
"392",97889527,4,1,"0001000"
"393",97889549,4,4,"1000000"
"394",97889554,5,1,"0000100"
"395",97889567,4,1,"0100000"
"396",97889598,5,1,"0100000"
"397",97889625,5,1,"0010000"
"398",97889646,5,1,"0010000"
"399",97889651,4,1,"0100000"
"400",97889652,5,1,"0010000"
"401",97889653,4,1,"1000000"
"402",97889664,4,1,"0001000"
"403",97889676,4,1,"1000000"
"404",97889682,4,1,"1000000"
"405",97889683,5,1,"0000100"
"406",97889692,4,1,"1000000"
"407",97889698,5,1,"0100000"
"408",97889707,5,4,"1000000"
"409",97889739,5,4,"1000000"
"410",97889749,4,1,"0001000"
"411",97889762,5,1,"0100000"
"412",97889771,5,1,"1000000"
"413",97889774,5,1,"0100000"
"414",97889775,4,1,"0001000"
"415",97889788,5,1,"1000000"
"416",97889789,4,1,"0000100"
"417",97889796,4,1,"1000000"
"418",97889799,4,1,"0001000"
"419",97889808,5,1,"1000000"
"420",97889815,5,1,"1000000"
"421",97889822,5,1,"0010000"
"422",97889837,5,1,"0010000"
"423",97889843,4,1,"0100000"
"424",97889846,4,1,"1000000"
"425",97889873,4,1,"0001000"
"426",97889881,4,1,"0000100"
"427",97889883,5,1,"0010000"
"428",97889888,5,1,"0000001"
"429",97889890,5,1,"0001000"
"430",97889893,5,1,"0100000"
"431",97889903,4,1,"0010000"
"432",97889905,5,1,"0100000"
"433",97889906,4,1,"0010000"
"434",97889923,4,1,"0000100"
"435",97889928,4,1,"0000010"
"436",97889942,4,1,"1000000"
"437",97889943,4,1,"1000000"
"438",97889944,4,1,"1000000"
"439",97889945,4,1,"1000000"
"440",97889946,5,1,"1000000"
"441",97889947,4,1,"1010000"
"442",97889948,4,1,"1000010"
"443",97889949,5,1,"1000010"
"444",97889950,5,1,"1000000"
"445",97889968,4,1,"1000000"
"446",97889973,5,1,"0000010"
"447",97889979,5,4,"0100000"
"448",97889985,4,4,"1000000"
"449",97889989,5,1,"1000000"
"450",97889991,5,1,"0100000"
"451",97889998,5,1,"1000000"
"452",97890001,4,1,"0001000"
"453",97890006,4,1,"0000100"
"454",97890008,4,1,"0010000"
"455",97890012,4,1,"0000100"
"456",97890013,4,1,"1000000"
"457",97890016,5,1,"1000000"
"458",97890022,4,1,"1000000"
"459",97890024,5,1,"0010000"
"460",97890026,4,1,"1000000"
"461",97890042,4,1,"1000000"
"462",97890045,5,1,"0000001"
"463",97890046,4,1,"0010000"
"464",97890057,4,1,"1000000"
"465",97890063,4,1,"0001000"
"466",97890064,5,1,"0100000"
"467",97890066,5,1,"0000010"
"468",97890068,4,1,"0000010"
"469",97890074,4,1,"1000000"
"470",97890080,5,1,"0000001"
"471",97890089,4,2,"0100000"
"472",97890091,4,2,"0001000"
"473",97890094,5,1,"0000010"
"474",97890096,4,1,"1000000"
"475",97890100,5,1,"0100000"
"476",97890104,4,2,"0100000"
"477",97890109,4,2,"0100000"
"478",97890111,4,2,"0001000"
"479",97890121,5,1,"0010000"
"480",97890136,5,1,"0001000"
"481",97890147,4,1,"0001000"
"482",97890151,4,1,"0000010"
"483",97890153,4,1,"1000000"
"484",97890156,5,1,"0000100"
"485",97890159,4,1,"0000001"
"486",97890163,4,1,"0010000"
"487",97890173,5,1,"1000000"
"488",97890174,4,1,"1000000"
"489",97890177,4,2,"0100000"
"490",97890179,5,2,"0100000"
"491",97890180,5,2,"0100000"
"492",97890186,4,2,"0100000"
"493",97890190,4,2,"0100000"
"494",97890196,4,2,"1000000"
"495",97890199,5,2,"0000001"
"496",97890205,4,1,"0010000"
"497",97890207,5,1,"0000100"
"498",97890210,5,1,"0010000"
"499",97890219,5,1,"1000000"
"500",97890224,4,1,"1000000"
"501",97890243,5,1,"0000010"
"502",97890244,4,1,"0010000"
"503",97890246,5,1,"1000000"
"504",97890248,4,1,"0100000"
"505",97890253,4,1,"0100000"
"506",97890262,5,1,"0010000"
"507",97890273,5,1,"0100000"
"508",97890278,5,1,"0100000"
"509",97890289,4,1,"1000000"
"510",97890292,5,1,"1000000"
"511",97890293,4,1,"1000000"
"512",97890295,4,1,"0010000"
"513",97890306,4,1,"1000000"
"514",97890323,4,1,"1000000"
"515",97890324,4,1,"1000000"
"516",97890329,4,1,"0010000"
"517",97890334,4,1,"0010000"
"518",97890336,4,1,"0010000"
"519",97890342,5,1,"1000000"
"520",97890350,4,4,"0000100"
"521",97890351,5,1,"0000100"
"522",97890355,5,1,"1000000"
"523",97890356,4,1,"1000000"
"524",97890358,4,1,"0000100"
"525",97890372,4,1,"0000001"
"526",97890383,5,1,"0000100"
"527",97890401,4,1,"0000100"
"528",97890402,4,1,"0000100"
"529",97890403,4,1,"0000100"
"530",97890404,4,1,"0000101"
"531",97890405,4,1,"0000100"
"532",97890406,4,1,"0000100"
"533",97890407,4,1,"0000100"
"534",97890408,4,1,"0000100"
"535",97890409,4,1,"0000100"
"536",97890410,5,1,"0000100"
"537",97890411,5,1,"0000100"
"538",97890412,4,1,"0000100"
"539",97890413,4,1,"0000100"
"540",97890414,4,1,"0000100"
"541",97890415,4,1,"0000100"
"542",97890416,0,1,"0000100"
"543",97890417,4,2,"0000100"
"544",97890418,4,1,"0000100"
"545",97890421,4,1,"0000100"
"546",97890422,5,1,"0000100"
"547",97890424,4,1,"0000100"
"548",97890426,4,1,"0000100"
"549",97890427,0,2,"0000100"
"550",97890432,4,1,"0000100"
"551",97890434,0,1,"0000100"
"552",97890435,5,1,"0000100"
"553",97890437,4,1,"0000100"
"554",97890439,4,1,"0000100"
"555",97890440,5,1,"0000100"
"556",97890441,0,1,"0000100"
"557",97890442,0,1,"0000100"
"558",97890444,4,1,"0000100"
"559",97890446,4,1,"0000100"
"560",97890450,0,1,"0000100"
"561",97890451,4,1,"0000100"
"562",97890455,0,1,"0000110"
"563",97890456,4,1,"0000100"
"564",97890457,0,1,"0000100"
"565",97890458,4,1,"0000100"
"566",97890459,5,1,"0000100"
"567",97890461,4,1,"0000100"
"568",97890465,4,1,"0000100"
"569",97890466,5,2,"0000100"
"570",97890469,5,1,"0000100"
"571",97890470,0,1,"0000100"
"572",97890473,5,1,"0000100"
"573",97890475,4,1,"0000100"
"574",97890476,4,1,"0000101"
"575",97890482,0,1,"0000100"
"576",97890483,4,1,"0000100"
"577",97890484,4,1,"0000100"
"578",97890486,0,1,"0000100"
"579",97890487,0,1,"0000100"
"580",97890490,0,2,"0000100"
"581",97890491,0,1,"0000100"
"582",97890493,5,1,"0000100"
"583",97890494,0,2,"0000100"
"584",97890495,5,1,"0000100"
"585",97890498,0,1,"0000110"
"586",97890500,0,1,"0000100"
"587",98848801,5,1,"0000100"
"588",98848802,5,1,"0000100"
"589",98848803,5,1,"0000100"
"590",98848804,5,1,"0000100"
"591",98848805,4,1,"0000100"
"592",98848806,4,1,"0000100"
"593",98848807,5,1,"0000101"
"594",98848808,4,1,"0000100"
"595",98848809,4,4,"0000101"
"596",98848810,5,2,"0000100"
"597",98848811,5,4,"0000110"
"598",98848812,5,4,"0000100"
"599",98848813,5,4,"0000100"
"600",98848814,4,4,"0000100"
"601",98848815,5,2,"0000100"
"602",98848816,0,0,"0000100"
"603",98848817,4,2,"0000100"
"604",98848818,4,1,"0000100"
"605",98848819,4,2,"0000100"
"606",98848820,5,2,"0000100"
"607",98848821,4,4,"0000100"
"608",98848822,4,4,"0000100"
"609",98848823,5,2,"0000100"
"610",98848824,5,2,"0000100"
"611",98848825,5,4,"0000100"
"612",98848826,5,4,"0000100"
"613",98848827,4,2,"0000100"
"614",98848828,5,4,"0000100"
"615",98848829,4,2,"0000100"
"616",98848830,5,4,"0000100"
"617",98848831,5,4,"0000110"
"618",98848832,4,2,"0000100"
"619",98848833,5,2,"0000100"
"620",98848834,4,4,"0000100"
"621",98848835,5,2,"0000100"
"622",98848836,5,4,"0000100"
"623",98848837,4,2,"0000100"
"624",98848838,5,1,"0000100"
"625",98848839,4,1,"0000110"
"626",98848840,4,1,"0000100"
"627",98848841,4,1,"0000100"
"628",98848842,4,1,"0000100"
"629",98848843,4,1,"0000100"
"630",98848844,5,1,"0000100"
"631",98848845,4,1,"0000100"
"632",98848846,4,1,"0000100"
"633",98848847,5,1,"0000100"
"634",98848848,4,1,"0000100"
"635",98848849,4,1,"0000100"
"636",98848850,4,1,"0000100"
"637",98848851,4,1,"0000100"
"638",98848852,5,1,"0000100"
"639",98848853,4,1,"0000100"
"640",98848854,4,1,"0000100"
"641",98848855,4,1,"0000100"
"642",98848856,5,1,"0000110"
"643",98848857,5,1,"0000100"
"644",98848858,4,1,"0000101"
"645",98848859,4,1,"0000100"
"646",98848860,4,2,"0000110"
"647",98848861,5,1,"0000110"
"648",98848862,4,1,"0000100"
"649",98848863,4,1,"0000100"
"650",98848864,5,1,"0000101"
"651",98848865,4,1,"0000100"
"652",98848866,5,1,"0000100"
"653",98848867,4,1,"0000100"
"654",98848868,5,1,"0000100"
"655",98848869,5,1,"0000100"
"656",98848870,5,1,"0000100"
"657",98848871,4,1,"0000100"
"658",98848872,5,1,"0000100"
"659",98848873,4,1,"0000100"
"660",98848874,4,1,"0000100"
