B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_REMARKS,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REMARKS,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
"1","07","8","0","01","3","",10,"0","02","2","","","","360",36.08333,"0940",-94.08333,"","06569","","4","1720","Canada Goose","098849047",07/02/2003,"02","07","2003","NE",57.8,"52","","9","E","B#33665; C#4204",10,"US","000",10/20/2004,"10","2004","0","","2","","66","363",36.58333,"",,"0931",-93.25,"","","08","","","29","23","01",06/17/2004,"17","06","2004",1,2,"098849047","0988-74063; ","N"
"4","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","4","1720","Canada Goose","102875692",06/26/2006,"26","06","2006","NE",494.3,"34","","Y","E","",10,"US","197",01/19/2009,"01","2009","0","091","2","","01","411",41.25,"",,"0882",-88.41667,"","BRAIDWOOD","05","","CANADA GOOSE","17","21","61",01/19/2009,"19","01","2009",3,2.58,"102875692","","N"
"4","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","5","1720","Canada Goose","102875693",06/26/2006,"26","06","2006","W",606.3,"17","","E","E","",11,"US","101",12/08/2012,"12","2012","0","101","3","","01","381",38.25445,"",,"1041",-104.24141,"","PUEBLO","05","","CANADA GOOSE","08","21","61",12/08/2012,"08","12","2012",7,6.5,"102875693","","N"
"1","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","5","1720","Canada Goose","102875705",06/26/2006,"26","06","2006","NW",700.9,"17","","Y","E","",10,"US","069",09/10/2008,"09","2008","0","","3","","01","402",40.41667,"",,"1050",-105.08333,"","LOVELAND","05","","CANADA GOOSE","08","21","61",,"99","12","2007",2,2.5,"102875705","","N"
"1","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","4","1720","Canada Goose","102875716",06/26/2006,"26","06","2006","NE",865.2,"68","","Y","E","",10,"CA","000",07/29/2008,"07","2008","0","","6","","01","430",43.08333,"",,"0805",-80.91667,"","Ingersoll","05","","Goose","08","21","07",,"79","07","2008",99,,"102875716","","N"
"1","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","5","1720","Canada Goose","102875737",06/26/2006,"26","06","2006","N",282.7,"52","","E","E","",10,"US","175",12/25/2009,"12","2009","0","175","2","","00","392",39.41667,"",,"0922",-92.41667,"","MOBERLY","05","","GOOSE","29","21","61",,"99","12","2009",4,4.5,"102875737","","N"
"1","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","4","1720","Canada Goose","102875741",06/26/2006,"26","06","2006","N",674,"81","","Y","E","finder wrote and said it was a goose",10,"US","029",09/03/2008,"09","2008","0","","3","","01","445",44.91667,"",,"0970",-97.08333,"","Watertown","05","","goose","46","21","62",09/03/2008,"03","09","2008",3,3.25,"102875741","","N"
"1","07","8","0","01","3","",0,"0","00","2","","","","352",35.47639,"0934",-93.82083,"","06569","","5","1720","Canada Goose","102875743",06/26/2006,"26","06","2006","NW",700.9,"17","","Y","E","",10,"US","069",09/10/2008,"09","2008","0","","3","","01","402",40.41667,"",,"1050",-105.08333,"","LOVELAND","05","","CANADA GOOSE","08","21","61",,"99","12","2007",2,2.5,"102875743","","N"
"1","07","8","0","01","3","",0,"0","00","2","","","","351",35.285,"0931",-93.20333,"","06569","","5","1720","Canada Goose","102875869",06/26/2006,"26","06","2006","N",484.7,"36","","Y","E","",10,"US","011",10/28/2007,"10","2007","0","","2","","01","421",42.25,"",,"0920",-92.08333,"","VINTON","03","","CANADA GOOSE","19","21","61",10/28/2007,"28","10","2007",2,2.33,"102875869","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","5","1720","Canada Goose","102875129",06/19/2006,"19","06","2006","E",249.7,"82","","E","E","",10,"US","005",02/16/2010,"02","2010","0","005","2","","00","355",35.91667,"",,"0880",-88.08333,"","HOLLADAY","05","","CANADA GOOSE","47","21","61",02/15/2010,"15","02","2010",4,4.67,"102875129","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","5","1720","Canada Goose","102875141",06/19/2006,"19","06","2006","N",686.5,"91","","E","E","lrm: DM;",0,"US","009",11/14/2013,"11","2013","0","009","2","","01","442",44.44659,"",,"0875",-87.84745,"","Langes Corners","05","","Canadian Goose","55","21","07",11/13/2013,"13","11","2013",8,8.42,"102875141","","N"
"4","07","8","0","01","3","",0,"0","00","2","","","","350",35.13722,"0922",-92.42806,"","06569","","5","1720","Canada Goose","102875184",06/19/2006,"19","06","2006","",,"00","","E","E","lrm: D;;;",,"00","000",05/16/2014,"05","2014","0","000","0","","70","000",0,"",,"0000",0,"","Unknown","02","I got it off ebay","Canada Goose","00","21","07",,"66","05","2014",99,,"102875184","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","4","1720","Canada Goose","102875210",06/19/2006,"19","06","2006","NE",475.9,"35","","E","E","assigned state cp (multiple towns named Riley in IN);;",12,"US","000",12/21/2011,"12","2011","0","000","2","","01","400",40.00032,"",,"0861",-86.25027,"","RILEY","05","","LARGE CANADA GOOSE","18","21","07",12/21/2011,"21","12","2011",6,6.5,"102875210","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","5","1720","Canada Goose","102875222",06/19/2006,"19","06","2006","NE",345.1,"35","","E","E","",10,"US","147",06/06/2012,"06","2012","0","147","2","","01","375",37.91667,"SLOUGH",,"0871",-87.25,"","HATFIELD","05","","LARGE CANADA GOOSE","18","21","07",01/11/2011,"11","01","2011",5,5.58,"102875222","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","5","1720","Canada Goose","102875250",06/19/2006,"19","06","2006","NW",331.7,"38","","E","E","lrm: D;;",11,"US","177",01/10/2014,"01","2014","0","177","3","","01","390",39.05292,"By Silver Lake Kansas",,"0955",-95.92438,"","Silver Lake","05","By Silver Lake Kansas","Canada Goose","20","21","07",01/10/2014,"10","01","2014",8,8.58,"102875250","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","4","1720","Canada Goose","102875265",06/19/2006,"19","06","2006","SE",579.8,"27","","Y","E","",10,"US","277",12/22/2009,"12","2009","0","277","1","","01","312",31.41667,"",,"0832",-83.41667,"","BROOKFIELD","05","","CANADA GOOSE","13","21","07",12/16/2009,"16","12","2009",4,4.5,"102875265","","N"
"1","07","8","0","01","3","Mod. per 06569_201307091649B;",0,"0","00","2","","","","350",35.14167,"0922",-92.425,"","06569","","5","1720","Canada Goose","102875266",06/19/2006,"19","06","2006","SE",579.8,"27","","Y","E","",10,"US","277",12/22/2009,"12","2009","0","000","1","","01","312",31.41667,"",,"0832",-83.41667,"","BROOKFIELD","05","","CANADA GOOSE","13","21","07",,"99","94","2009",4,4.25,"102875266","","N"
