band_id,disposition,spp,age,sex,month,day,year,status
113831362,1,CAGO,AHY,F,6,21,2011,300
113831363,1,CAGO,AHY,M,6,21,2011,300
113831364,1,CAGO,AHY,F,6,21,2011,300
113831366,1,CAGO,AHY,M,6,21,2011,300
113831367,1,CAGO,AHY,M,6,21,2011,300
113831368,1,CAGO,AHY,M,6,21,2011,300
113831369,1,CAGO,AHY,F,6,21,2011,300
113831370,1,CAGO,AHY,F,6,21,2011,300
113831371,1,CAGO,AHY,M,6,21,2011,300
113831372,1,CAGO,AHY,M,6,21,2011,300
113831373,1,CAGO,AHY,F,6,21,2011,300
113831374,1,CAGO,AHY,F,6,21,2011,300
113831375,1,CAGO,AHY,F,6,21,2011,300
113831376,1,CAGO,AHY,M,6,21,2011,300
113831377,1,CAGO,AHY,F,6,21,2011,300
113831378,1,CAGO,AHY,F,6,27,2011,300
113831379,1,CAGO,AHY,F,6,27,2011,300
113831380,1,CAGO,AHY,F,6,27,2011,300
113831381,1,CAGO,AHY,M,6,27,2011,300
113831382,1,CAGO,AHY,F,6,27,2011,300
113831383,1,CAGO,AHY,F,6,27,2011,300
113831384,1,CAGO,AHY,F,6,27,2011,300
113831385,1,CAGO,AHY,M,6,27,2011,300
113831386,1,CAGO,AHY,M,6,27,2011,300
113831395,1,CAGO,AHY,F,6,27,2011,300
113831396,1,CAGO,AHY,M,6,27,2011,300
113831397,1,CAGO,AHY,M,6,27,2011,300
113831398,1,CAGO,L,F,6,27,2011,300
113831399,1,CAGO,AHY,F,6,27,2011,300
113831400,1,CAGO,AHY,F,6,27,2011,300
113831401,1,CAGO,AHY,M,6,27,2011,300
113831402,1,CAGO,AHY,F,6,27,2011,300
113831403,1,CAGO,AHY,F,6,27,2011,300
113831404,1,CAGO,AHY,M,6,27,2011,300
113831405,1,CAGO,AHY,F,6,27,2011,300
113831406,1,CAGO,AHY,M,6,27,2011,300
113831407,1,CAGO,AHY,F,6,27,2011,300
113831408,1,CAGO,AHY,F,6,27,2011,300
113831409,1,CAGO,AHY,M,6,27,2011,300
113831411,1,CAGO,AHY,F,6,27,2011,300
113831412,1,CAGO,AHY,F,6,27,2011,300
113831413,1,CAGO,AHY,F,6,27,2011,300
113831414,1,CAGO,AHY,F,6,27,2011,300
113831415,1,CAGO,AHY,F,6,27,2011,300
113831416,1,CAGO,AHY,F,6,27,2011,300
113831417,1,CAGO,AHY,,6,27,2011,300
113831418,1,CAGO,AHY,F,6,27,2011,300
113831419,1,CAGO,AHY,F,6,27,2011,300
113831420,1,CAGO,AHY,F,6,27,2011,300
113831421,1,CAGO,AHY,M,6,27,2011,300
113831422,1,CAGO,AHY,F,6,27,2011,300
113831423,1,CAGO,AHY,F,6,27,2011,300
113831424,1,CAGO,AHY,M,6,27,2011,300
113831425,1,CAGO,AHY,M,6,27,2011,300
113831426,1,CAGO,AHY,F,6,27,2011,300
113831427,1,CAGO,AHY,M,6,27,2011,300
113831428,1,CAGO,AHY,M,6,27,2011,300
113831429,1,CAGO,AHY,M,6,27,2011,300
113831430,1,CAGO,AHY,M,6,27,2011,300
113831431,1,CAGO,AHY,M,6,27,2011,300
113831432,1,CAGO,AHY,F,6,27,2011,300
113831433,1,CAGO,AHY,F,6,27,2011,300
113831434,1,CAGO,AHY,F,6,27,2011,300
113831436,1,CAGO,AHY,F,6,27,2011,300
113831438,1,CAGO,AHY,F,6,27,2011,300
113831439,1,CAGO,AHY,F,6,27,2011,300
113831440,1,CAGO,AHY,M,6,27,2011,300
113831441,1,CAGO,AHY,M,6,27,2011,300
113831443,1,CAGO,AHY,M,6,27,2011,300
113831444,1,CAGO,AHY,M,6,27,2011,300
113831445,1,CAGO,AHY,M,6,27,2011,300
113831446,1,CAGO,AHY,F,6,27,2011,300
113831447,1,CAGO,AHY,F,6,27,2011,300
113831448,1,CAGO,AHY,F,6,27,2011,300
113831449,1,CAGO,AHY,M,6,27,2011,300
113831450,1,CAGO,AHY,M,6,27,2011,300
113831451,1,CAGO,AHY,F,6,27,2011,300
113831452,1,CAGO,AHY,F,6,27,2011,300
113831454,1,CAGO,AHY,M,6,27,2011,300
113831455,1,CAGO,AHY,M,6,27,2011,300
113831457,1,CAGO,AHY,M,6,27,2011,300
