B AGE CODE,B AREA CODE,B BAND SIZE CODE,B BAND STATUS CODE,B BAND TYPE CODE,B BIRD STATUS,B COMMENTS,B COORD PRECISION,B DIRECTION CODE,B EXTRA INFO CODE,B FLYWAY CODE,B HOW AGED CODE,B HOW CAPTURED,B HOW SEXED CODE,B LAT,B LAT FLOAT,B LON,B LON FLOAT,B MARKER LONG DESC,B PERMIT NUM,B REMARKS,B SEX CODE,B SPECIES ID,B SPECIES NAME,BAND ID,BANDING DATE,BANDING DAY,BANDING MONTH,BANDING YEAR,BEARING,DISTANCE,E AREA CODE,E CAPTURE TIME,E CERTIFICATE FLAG,E CERTIFICATE LANGUAGE,E COMMENTS,E COORD PRECISION,E COUNTRY CODE,E COUNTY CODE,E CREATE DATE,E CREATE MONTH,E CREATE YEAR,E DIRECTION CODE,E ENC COUNTY ORIGINAL,E FLYWAY CODE,E HOW CAPTURED,E HOW OBTAINED CODE,E LAT,E LAT FLOAT,E LOCATION DESCRIPTION,E LOCATION ID,E LON,E LON FLOAT,E MARKER LONG DESC,E PLACE NAME,E PRESENT CONDITION CODE,E REMARKS,E SPECIES ID,E SPECIES NAME,E STATE CODE,E WHO OBTAINED CODE,E WHY REPORTED CODE,ENC PERMIT,ENCOUNTER DATE,ENCOUNTER DAY,ENCOUNTER MONTH,ENCOUNTER YEAR,HSS,MIN AGE AT ENC,ORIGINAL BAND,OTHER BANDS,SAME 10 MIN BLOCK,REC_SOURCE,ENC ERROR
2,7,8,0,11,2,,10,0,9,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57893484,11/2/1965,2,11,1965,,0,7,,9,E,B#00000; create date from C#0366,10,US,0,3/31/1966,3,1966,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,5,,,,5,22,1,,12/15/1965,15,12,1965,1,0.5,57893484,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870791,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0465,10,US,0,5/13/1965,5,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,11/30/1964,30,11,1964,1,0.42,57870791,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57870897,11/10/1964,10,11,1964,E,39.4,7,,9,E,B#00000; create date from C#1165,10,US,0,12/31/1965,12,1965,0,,2,,50,345,34.91667,,,922,-92.41667,<CLOB>,,3,,,,5,21,1,,,79,8,1965,99,,57870897,,N,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,5,1720,Canada Goose,57870922,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0665,10,US,0,7/18/1965,7,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,3/22/1965,22,3,1965,1,0.75,57870922,,Y,DB,
4,50,8,0,11,3,,10,0,2,2,,,,450,45.08333,930,-93.08333,,5838,,4,1720,Canada Goose,57836112,7/14/1976,14,7,1976,S,755.5,7,,9,E,B#23074; C#0379,10,US,0,3/25/1979,3,1979,0,,2,,66,341,34.25,,,910,-91.08333,<CLOB>,,7,,,,5,22,1,,1/16/1979,16,1,1979,3,2.58,57836112,,N,DB,
1,76,8,0,11,3,,10,0,0,6,,,,600,60.08333,771,-77.25,,728,,4,1720,Canada Goose,57826395,7/23/1965,23,7,1965,SW,1797,7,,9,E,B#29402; C#4586,10,US,0,11/11/1986,11,1986,0,,2,,28,352,35.41667,,,900,-90.08333,<CLOB>,,2,,,,5,21,1,,,66,10,1985,99,,57826395,,N,DB,
2,45,8,0,11,3,,10,0,2,6,,,,503,50.58333,980,-98.08333,,10197,,5,1720,Canada Goose,57831667,8/17/1970,17,8,1970,SE,1082.2,7,,9,E,B#09398; create date from C#0574,10,US,0,5/31/1974,5,1974,0,,2,,1,355,35.91667,,,902,-90.41667,<CLOB>,,5,,,,5,21,1,,,99,94,1973,4,3.25,57831667,,N,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57870463,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0665,10,US,0,7/18/1965,7,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,3/22/1965,22,3,1965,1,0.75,57870463,,Y,DB,
2,7,8,0,18,2,,10,0,10,2,,,,350,35.08333,930,-93.08333,,6228,,4,1720,Canada Goose,57870487,11/10/1964,10,11,1964,,0,7,,9,E,B#00000; create date from C#0665,10,US,0,7/18/1965,7,1965,0,,2,,0,350,35.08333,,,930,-93.08333,<CLOB>,,3,,,,5,22,0,,4/13/1965,13,4,1965,1,0.83,57870487,,Y,DB,
2,7,8,0,11,2,,10,0,10,2,,,,341,34.25,910,-91.08333,,6228,,5,1720,Canada Goose,57892538,10/29/1965,29,10,1965,,0,7,,9,E,B#00000; create date from C#0566,10,US,0,5/31/1966,5,1966,0,,2,,0,341,34.25,,,910,-91.08333,<CLOB>,,5,,,,5,22,1,,1/2/1966,2,1,1966,1,0.58,57892538,,Y,DB,
