add_info,b_age,b_coord_prec,b_day,b_dir,b_flyway,b_lat,b_long,b_month,b_region,b_year,band,band_type,current_band_type,b_lat_gis,b_long_gis,r_lat_gis,r_long_gis,how_obt,season_surv,permit,pres_cod,r_coord_pres,r_create_month,r_create_year,r_day,r_dir,r_flyway,r_lat,r_long,r_month,r_region,r_year,replaced_band_code,band,spp_num,status,who,why,age,b_month,b_state,live_dead,flyway,r_month,r_region,r_state,sex,species
0,1,10,23,0,2,352,932,6,7,2003,97889254,1,1,35.41667,-93.41667,35.41667,-93.41667,1,1,6569,3,10,10,2003,4,0,2,352,932,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Female,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889543,1,1,35.25,-93.25,35.25,-93.25,1,1,6569,3,10,1,2004,11,0,2,351,931,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97889699,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,2,2004,23,0,2,351,930,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,24,0,2,351,931,6,7,2003,97889566,1,1,35.25,-93.25,35.25,-94.08333,1,1,6569,3,10,10,2003,5,0,2,351,940,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,23,0,2,352,932,6,7,2003,97889253,1,1,35.41667,-93.41667,34.91667,-94.08333,1,1,6569,3,10,2,2004,23,0,2,345,940,1,7,2004,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,19,0,2,351,931,6,7,2003,97889212,1,1,35.25,-93.25,35.25,-93.08333,1,1,6569,3,10,10,2003,11,0,2,351,930,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,1,0,2,351,931,7,7,2003,97889848,1,1,35.25,-93.25,35.25,-92.91667,1,1,6569,3,10,10,2003,5,0,2,351,925,10,7,2003,0,Original,1720,3,21,6,AfterHatchYear,July,Arkansas,dead,Mississippi,October,AR,Arkansas,Male,CAGO
0,1,10,29,0,2,352,934,6,7,2004,98848964,1,1,35.41667,-93.75,35.41667,-94.25,1,1,6569,3,10,1,2005,15,0,2,352,941,1,7,2005,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Male,CAGO
0,1,10,30,0,2,352,941,6,7,2004,97889868,1,1,35.41667,-94.25,35.41667,-94.41667,1,1,6569,3,10,1,2005,26,0,2,352,942,1,7,2005,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,January,AR,Arkansas,Female,CAGO
0,1,10,28,0,2,352,933,6,7,2004,98849227,1,1,35.41667,-93.58333,35.41667,-93.41667,1,1,6569,3,10,2,2005,5,0,2,352,932,2,7,2005,0,Original,1720,3,21,6,AfterHatchYear,June,Arkansas,dead,Mississippi,February,AR,Arkansas,Female,CAGO
