"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","state","encounter_day","encounter_month","encounter_year","e_present_condition_code","l_d"
100889322,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889325,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889329,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889330,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889332,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889347,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889301,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889303,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889310,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889312,1,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890417,2,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890427,2,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888755,2,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
97890494,2,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888744,2,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
100888782,2,0,24,6,2009,"AR",NA,NA,NA,7,"alive"
103887324,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887332,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887355,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887328,2,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887335,2,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887342,2,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887344,2,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887306,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887310,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887313,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887315,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887316,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
114825300,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825302,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825304,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825305,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825306,4,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825309,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825311,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825313,4,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825314,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825315,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825319,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825322,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825330,4,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825335,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825336,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825338,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825344,1,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825347,1,4,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825348,4,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114825349,4,5,27,6,2012,"AR",NA,NA,NA,7,"alive"
114889553,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889559,4,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889562,4,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889567,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889572,4,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889574,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889581,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889584,1,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889590,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889593,4,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889596,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889597,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889601,4,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889603,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889605,4,4,25,6,2013,"AR",NA,NA,NA,7,"alive"
103887398,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887400,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821011,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821015,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821017,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821021,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821022,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821024,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821027,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
114889609,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889617,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889618,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889621,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889624,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889626,1,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889627,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889634,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889636,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889640,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
114889642,4,5,25,6,2013,"AR",NA,NA,NA,7,"alive"
107821048,1,4,24,6,2010,"AR",NA,NA,NA,7,"alive"
107821052,1,4,24,6,2010,"AR",NA,NA,NA,7,"alive"
103887392,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887393,4,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887380,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887384,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887385,1,5,23,6,2010,"AR",NA,NA,NA,7,"alive"
103887388,1,4,23,6,2010,"AR",NA,NA,NA,7,"alive"
107821167,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821170,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821171,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821173,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821174,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821176,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821177,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821178,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821179,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821182,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821184,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821188,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821189,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821191,1,5,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821196,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
107821198,1,4,7,7,2011,"AR",NA,NA,NA,7,"alive"
